alias,person_id,kind,pinyin,source_note
則天皇后,93663,signature,,《舊唐書·則天皇后本紀》以「則天皇后」立傳；CBDB 93663 正名為「武曌(武則天)」，故將語料署名歸併至同一 person_id。
武曌,93663,signature,,CBDB 93663 正名為「武曌(武則天)」；「曌」為武則天所造名，故將語料署名歸併至同一 person_id。
則天大聖皇帝,93663,feature,,"「則天大聖皇后(谥号)」係705年遺制自請、旋遜帝位之過渡稱號,CBDB 別名表居首僅因入庫排序偶然;武曌690年稱帝建周,為中國唯一女皇帝,故档案「字号」头衔取705年中宗所上尊號「則天大聖皇帝」,其餘13個頭銜全數保留於別名列表。"
蔡文姬,135022,search,,《後漢書·列女傳·董祀妻》記蔡邕女「名琰，字文姬」；CBDB 135022 為蔡琰且 ALTNAME 無此別名，僅補站內檢索。
魏夫人,21699,signature,,魏玩：北宋襄陽人，曾布妻，人稱魏夫人；朱熹謂「本朝婦人能文者，唯魏夫人及李易安二人」。CBDB 21699 魏氏（曾布妻），ALTNAME 有魏玩／魏芷，KIN_DATA 與曾布（1707）互為夫妻；語料署名「魏夫人」15 首（14 詞 1 句）與周泳先輯《魯國夫人詞》規模相符，已逐首核對。
魏夫人,21699,search,,「魏夫人」為魏玩通行稱謂（朱熹語即用「魏夫人」）；已作 signature 歸併署名，此行補站內檢索別名。
魏玩,21699,display,Wei Wan,"CBDB 21699 正名「魏氏(曾布妻)」係婚屬描述;明清婦女著作(MQWW)人名條目作「魏玩(1040-1103),又名魏芷,魏夫人」,胡文楷著錄《魯國夫人詞》亦繫魏玩名下,依文獻通名作展示名。"
萧观音,43908,signature,,"萧观音:辽道宗耶律洪基皇后,追谥宣懿皇后,《回心院》十首系及《伏虎林应制》《怀古》传世(语料署名「萧观音」共 12 首),因《十香词》案含冤赐死(1075)。CBDB 43908 正名「蕭觀音(耶律洪基妻)」系婚属描述符,依文献通名作展示名,12 首经此归并。"
萧观音,43908,display,Xiao Guanyin,"CBDB 正名系婚属描述符,依文献通名作展示名「萧观音」。"
萧瑟瑟,43926,signature,,"萧瑟瑟:辽天祚帝耶律延禧文妃,《讽谏歌》《咏史》传世。CBDB 43926 正名「蕭氏(耶律延禧妾)」、别名有「瑟瑟」,语料署名「萧瑟瑟」经此归并。"
萧瑟瑟,43926,display,Xiao Sese,"CBDB 正名系婚属描述符,依文献通名作展示名。"
苏伯玉妻,135438,signature,,"苏伯玉妻:《盘中诗》(回文盘中诗鼻祖)作者,居长安思夫苏伯玉使蜀久不归而作。CBDB 135438 正名「某氏(蘇伯玉妻)」,c_dy=25 断代東漢——本站以 CBDB 为底,展示朝代从東漢;《盘中诗》旧传或系晋(《玉台新咏》系),存断代异说,一并注明。语料署名「苏伯玉妻」经此归并;其名不存,「苏伯玉妻」即婚属称谓,亦是被抹去的一种形态。"
苏伯玉妻,135438,display,Su Boyu Qi,"其名不存,CBDB 正名作「某氏(蘇伯玉妻)」;展示名用婚属通称「苏伯玉妻」。"
